x_B,P_GPa,k,S_cc,S_cc0_M2
0.8,0,1.8100,2.015336e-01,1.429913e+00
0.8,0,1.8200,1.310134e-01,1.429913e+00
0.8,0,1.8600,1.703724e-01,1.429913e+00
0.8,0,1.8900,1.852357e-01,1.429913e+00
0.8,0,1.9000,1.747203e-01,1.429913e+00
0.8,0,1.9300,1.656433e-01,1.429913e+00
0.8,0,1.9400,2.614908e-01,1.429913e+00
0.8,0,1.9600,1.569473e-01,1.429913e+00
0.8,0,1.9800,1.730812e-01,1.429913e+00
0.8,0,2.0000,1.657038e-01,1.429913e+00
0.8,0,2.0200,1.642802e-01,1.429913e+00
0.8,0,2.0300,1.820797e-01,1.429913e+00
0.8,0,2.0400,1.711529e-01,1.429913e+00
0.8,0,2.0700,1.945714e-01,1.429913e+00
0.8,0,2.1100,1.658936e-01,1.429913e+00
0.8,0,2.1300,1.443415e-01,1.429913e+00
0.8,0,2.1400,1.777454e-01,1.429913e+00
0.8,0,2.2000,1.893882e-01,1.429913e+00
0.8,0,2.2100,1.546823e-01,1.429913e+00
0.8,0,2.2200,2.327844e-01,1.429913e+00
0.8,0,2.2400,1.833360e-01,1.429913e+00
0.8,0,2.2600,2.358859e-01,1.429913e+00
0.8,0,2.2700,1.842119e-01,1.429913e+00
0.8,0,2.2800,2.028073e-01,1.429913e+00
0.8,0,2.2900,2.038040e-01,1.429913e+00
0.8,0,2.3100,2.055471e-01,1.429913e+00
0.8,0,2.3300,2.004869e-01,1.429913e+00
0.8,0,2.3500,2.027960e-01,1.429913e+00
0.8,0,2.3600,1.897036e-01,1.429913e+00
0.8,0,2.3900,3.021911e-01,1.429913e+00
0.8,0,2.4100,2.122871e-01,1.429913e+00
0.8,0,2.4200,2.019906e-01,1.429913e+00
0.8,0,2.4400,1.942510e-01,1.429913e+00
0.8,0,2.4500,3.078488e-01,1.429913e+00
0.8,0,2.4600,2.283672e-01,1.429913e+00
0.8,0,2.4700,1.995538e-01,1.429913e+00
0.8,0,2.5100,2.342317e-01,1.429913e+00
0.8,0,2.5300,2.044049e-01,1.429913e+00
0.8,0,2.5400,2.204667e-01,1.429913e+00
0.8,0,2.5600,1.969330e-01,1.429913e+00
0.8,0,2.5900,1.975065e-01,1.429913e+00
0.8,0,2.6500,1.886338e-01,1.429913e+00
0.8,0,2.6900,1.883179e-01,1.429913e+00
0.8,0,2.7100,1.898799e-01,1.429913e+00
0.8,0,2.7200,1.676750e-01,1.429913e+00
0.8,0,2.7300,1.897399e-01,1.429913e+00
0.8,0,2.7500,1.782656e-01,1.429913e+00
0.8,0,2.7800,2.048908e-01,1.429913e+00
0.8,0,2.8200,2.152195e-01,1.429913e+00
0.8,0,2.8500,1.760039e-01,1.429913e+00
0.8,0,2.9200,1.558374e-01,1.429913e+00
0.8,0,2.9400,1.686905e-01,1.429913e+00
0.8,0,3.0600,1.547543e-01,1.429913e+00
0.8,0,3.0700,1.681723e-01,1.429913e+00
0.8,0,3.1100,1.574493e-01,1.429913e+00
0.8,0,3.1700,1.359629e-01,1.429913e+00
0.8,0,3.2600,1.468231e-01,1.429913e+00
0.9,0,0.3400,1.604653e+00,2.463845e+07
0.9,0,0.3900,3.177398e-01,2.463845e+07
0.9,0,0.4300,8.446647e-02,2.463845e+07
0.9,0,0.5100,2.619791e-02,2.463845e+07
0.9,0,0.5500,1.231043e-01,2.463845e+07
0.9,0,0.5800,3.037319e-01,2.463845e+07
0.9,0,0.6700,1.311451e-01,2.463845e+07
0.9,0,0.7800,6.396591e-02,2.463845e+07
0.9,0,0.8000,3.620247e-02,2.463845e+07
0.9,0,0.8400,7.953230e-02,2.463845e+07
0.9,0,0.8600,2.995087e-02,2.463845e+07
0.9,0,0.8900,6.021698e-02,2.463845e+07
0.9,0,0.9200,5.349612e-02,2.463845e+07
0.9,0,0.9400,4.179504e-02,2.463845e+07
0.9,0,0.9500,5.894384e-02,2.463845e+07
0.9,0,1.0000,3.097299e-02,2.463845e+07
0.9,0,1.0100,4.930891e-02,2.463845e+07
0.9,0,1.0300,6.388876e-02,2.463845e+07
0.9,0,1.0800,7.103420e-02,2.463845e+07
0.9,0,1.0900,4.063369e-02,2.463845e+07
0.9,0,1.1100,4.590331e-02,2.463845e+07
0.9,0,1.1600,6.802906e-02,2.463845e+07
0.9,0,1.2100,4.733656e-02,2.463845e+07
0.9,0,1.2400,5.854137e-02,2.463845e+07
