frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
2681,268100,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.24242245168604,3.4476147833063,4.717066519806918,2.07774114857282,-0.007382012272659999,-0.001325640932549277,0.06975748768581269
2682,268200,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.23574570570158,3.255184501875529,4.683719769983924,2.296841433842124,-0.007752595002616047,-0.001389584625886897,0.07324761337559238
2683,268300,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.40495097620361,3.402275853669037,4.729968223283931,2.272706899250641,-0.008466493962512089,-0.001518542654443067,0.07997398304299352
2684,268400,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.44005489397827,3.544389065480218,4.64407239388717,2.251593434610883,-0.008122305267637131,-0.001456838552121198,0.07673142963393786
2685,268500,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.38945779492244,3.692143644980636,4.62084572280309,2.076468427138719,-0.006997883100647861,-0.001256634645324439,0.06614364102654235
2686,268600,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.28954107136715,3.578715357259177,4.662003986158511,2.048821727949464,-0.00711889584340053,-0.001278012297701636,0.06727867441038171
2687,268700,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.47875552480809,3.464947766364732,4.729781162900592,2.28402659554277,-0.008218468684798808,-0.001473115407481629,0.07763887365090127
2688,268800,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.44724606390875,3.433575516526577,4.834568423653137,2.179102123729037,-0.008565890171682078,-0.001536165451883065,0.08091363904631876
2689,268900,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.41992038132019,3.442540259741069,4.840542130284605,2.136837991294522,-0.007733629278686927,-0.001386711912051197,0.0730684043493568
2690,269000,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.26395614454736,3.375751129074291,4.761117388963307,2.127087626509758,-0.007327856272635103,-0.001315431753692309,0.06924700119300198
2691,269100,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.32287588575351,3.288877328721203,4.920759699719515,2.113238857312791,-0.007930291488139396,-0.001421678170695273,0.07492838650531652
2692,269200,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.52159937389468,3.684384412264065,4.611652927383887,2.225562034246726,-0.008268492096466851,-0.001482698479531308,0.07811034587790644
2693,269300,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.26103069211045,3.665090298665126,4.495451035540613,2.10048935790471,-0.007632264919315013,-0.001368417259742571,0.07211575929515135
2694,269400,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.48099713594096,3.891356283165912,4.439755299909786,2.149885552865261,-0.007183752704680302,-0.001290573938474537,0.06789376975624251
2695,269500,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.38552574806364,3.86304656860571,4.360424932351162,2.162054247106767,-0.007960755534377917,-0.001428474148683634,0.07520591554596479
2696,269600,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.50669050822759,3.777220725372593,4.361321894803145,2.368147888051856,-0.008856073914839335,-0.001587715466341066,0.08364680614542053
2697,269700,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.64994528253434,4.023010531665659,4.384275814022041,2.242658936846636,-0.00863667401801127,-0.001549114965035514,0.08157962341825353
2698,269800,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.51637228400753,4.033518724775154,4.2644951469409,2.218358412291476,-0.007475371883375992,-0.001341528274121373,0.07064033715195706
2699,269900,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.25539728576232,3.886781406913773,4.249408506115548,2.119207372733006,-0.006639803342286754,-0.001192291642498233,0.06277042387702281
2700,270000,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.48127087661202,3.838192290748497,4.431906978148131,2.211171607715397,-0.007540741098883252,-0.001353253266076493,0.07125590196089249
2701,270100,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.35845226327761,3.96488798620963,4.191527945782579,2.202036331285404,-0.008583631370295386,-0.001539435414514401,0.08108003919483764
2702,270200,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.47463525719608,4.112708428751766,4.258605812854395,2.103321015589918,-0.00783464506968734,-0.00140523810228288,0.07402859276808016
2703,270300,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.41549812211298,3.762932619131765,4.36363998676139,2.288925516219823,-0.007012533038161628,-0.001258671569281944,0.06628562644319302
2704,270400,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.54781238046704,3.888098965398456,4.40845628472526,2.251257130343322,-0.007740841701294521,-0.001389204986859127,0.07313571147410869
2705,270500,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.86587892362638,3.956793364790222,4.578744868257316,2.330340690578842,-0.008330985752482256,-0.001494181807274231,0.07869982869642556
2706,270600,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.89776407000197,4.066544386682119,4.59195000208097,2.239269681238885,-0.007686671497536324,-0.001380643595513931,0.07263279935867928
