frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
6866,686600,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.10423670384108,5.099014864674575,5.41100191375225,0.5942199254142542,-0.008141187247458603,-0.001492599525443339,0.07774000073435516
6867,686700,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.26865374854715,5.257640942989711,5.488216927945508,0.5227958776119334,-0.00857347314292678,-0.001572205876056998,0.08181455046159414
6868,686800,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.3842751343724,5.58614801562744,5.227786626012884,0.5703404927320749,-0.008062982016238784,-0.001479390000788783,0.077001991326199
6869,686900,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.35188856940891,5.386212910077716,5.305309705761324,0.6603659535698676,-0.007543132893124138,-0.001387079986850281,0.07211254861070771
6870,687000,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.29545547848122,5.505840053480299,5.171995668839313,0.6176197561616085,-0.007672884426801474,-0.001409297204931548,0.07332482766614135
6871,687100,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.59712004505244,5.627506004302382,5.351226635949323,0.6183874048007342,-0.008179463710744628,-0.001500737520652606,0.07810574974415729
6872,687200,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.59412958332501,6.09995279214811,5.887050457049657,0.6071263341272486,-0.008415894268423152,-0.001541640003473788,0.08032832480245489
6873,687300,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.88198003622033,5.749999941678293,5.572505022202285,0.5594750723397566,-0.00801800921056639,-0.001471452996323563,0.07658298924415874
6874,687400,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.12309506832825,5.837447799631428,5.649125355973543,0.6365219127232785,-0.007437343329275592,-0.001367110407290539,0.07111480080863686
6875,687500,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.93447841718725,5.962499894839212,5.288240010236875,0.6837385121111645,-0.007548616383707518,-0.001388303994737328,0.07215742993739838
6876,687600,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.54187300962173,5.628965105147707,5.321176721184,0.5917311832900233,-0.00798527284495254,-0.001466373444383606,0.07627476780066189
6877,687700,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.44918658386332,5.547184647566827,5.293675886920583,0.6083260493759067,-0.008113600350776018,-0.00148954845375826,0.07748936419062957
6878,687800,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.35080107691642,5.237332294256306,5.564584936819262,0.5488838458408565,-0.008161639616560912,-0.001497553491036641,0.07793555045355305
6879,687900,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.43904749094351,5.375647686987791,5.494962758273622,0.5684370456820974,-0.007874051490367684,-0.001446319032092802,0.07522815742303024
