frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
1925,192500,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4928047009112794,0.05021808668233472,0.3072422306862597,0.1353443835426849,-0.00812183920043541,-0.001450978543550363,0.07657219030968321
1926,192600,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.544763751319711,0.09435661587317019,0.3091602769871176,0.1412468584594232,-0.007741820230064533,-0.001381777990349775,0.07299764802701603
1927,192700,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5204613948152567,0.09484794891225558,0.2911032987593705,0.1345101471436307,-0.007404139295182688,-0.001322966338683784,0.06981523022386682
1928,192800,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5451352884836094,0.07797071901199003,0.3313596855668765,0.1358048839047429,-0.007705786996856645,-0.00137555540954537,0.07266222103280739
1929,192900,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5832264922338675,0.1087782466876514,0.2980246753754159,0.1764235701708,-0.008239288270791789,-0.001471480567905914,0.07767591168052235
1930,193000,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4851544019326896,0.1213063002379996,0.2402586076587123,0.1235894940359777,-0.007982103293719511,-0.0014261742254984,0.07525853756031253
1931,193100,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4678398315212365,0.06526750759112958,0.2347474094490051,0.1678249144811018,-0.007572832303242905,-0.00135225469289324,0.07139592092011782
1932,193200,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5060619777270683,0.07045603967618964,0.2826382855820644,0.1529676524688142,-0.007516597626974431,-0.00134368166661325,0.07087638752883407
1933,193300,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5130500716034335,0.09909182263635706,0.2295363236511962,0.1844219253158803,-0.007639595303535529,-0.001364794939371805,0.07203869888401115
1934,193400,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.512875500812176,0.04935290566339418,0.3113814214183895,0.1521411737303924,-0.007783174115838065,-0.001389915362675964,0.07338690362159284
