True_Energy_per_atom,Pred_Energy_per_atom
-7.063900262083333,-7.063179727335722
-12.5456525378125,-12.540126291620938
-10.76128251275,-10.757284810290153
-7.03174794875,-7.0294229627098685
-10.8656148953125,-10.868052218073277
-9.311061994375,-9.310070058734802
-9.6621320265,-9.665257851124917
-8.1403306635,-8.120676421711332
-7.086049934583333,-7.083250361286712
-7.086388741041667,-7.084582536444756
-6.845305812083333,-6.840686192933483
-6.20349526375,-6.215620045810872
-6.935210889166666,-6.935264891522427
-7.0146877368750005,-7.012515328449257
-8.88179592975,-8.875702473657958
-6.301513553958333,-6.2975226333173895
-6.381610140208333,-6.3823996186677485
-6.890910803333333,-6.881312017726633
-6.982834748958333,-6.979970072927248
-6.987378575625001,-6.9879093103447305
-7.03226900125,-7.031960017119256
-7.1066001935416665,-7.105626350949934
-7.030402591041667,-7.028896051521432
-8.722910314,-8.718396795465926
-8.91241049225,-8.90842075526474
-6.890104884583334,-6.8876440882778605
-12.164964329791667,-12.166546354830666
-6.990844192708334,-6.986122626782159
-7.1366940931250005,-7.136549138060194
-6.9953719618750005,-6.9944518245696115
-6.932603115,-6.9299294382473136
-7.034984166249999,-7.033152257068729
-7.146629170625,-7.146580907212836
-13.305396657500001,-13.3096507979063
-6.9729147070833335,-6.971044041400066
-7.0104080897916665,-7.010354731021537
-9.281624461875,-9.2707070870968
-7.097369460208333,-7.0965503530111045
-6.996792937083334,-6.997881107348479
-7.033512765,-7.031669841201546
-10.979742485625,-10.980914515803489
-6.261480393958333,-6.2652990970204465
-6.290698342291667,-6.283855681041628
-6.27948421,-6.291098712930832
-7.013886045625,-7.013666623655475
-7.062621895833334,-7.061291318001488
-6.9863749112499995,-6.985792527647393
-6.338387063750001,-6.3363203735258935
-12.113616973333334,-12.115606325997428
-6.937836060625,-6.938399709509767
-6.971427834583333,-6.972900418057079
-7.159755349375001,-7.159041963444808
-6.304630818333333,-6.308733873723765
-7.010335812916666,-7.008589855640786
-6.499476672708333,-6.499690192489986
-10.820023500625,-10.81866159351715
-6.367860566249999,-6.370076622923221
-6.983394787708334,-6.98479445373973
-9.240567139791667,-9.23826380393269
-8.5627539395,-8.53794097933182
-7.027265301041666,-7.028282687428018
-11.86179373425,-11.863796391110922
-7.471448100000001,-7.467788380453273
-6.499920543499999,-6.5427741897350415
-7.021062057291666,-7.020073222316239
-6.4202055231249995,-6.417785502326161
-6.394583907708333,-6.387415422448201
-7.06629920375,-7.066380256415766
-6.275601060833334,-6.276506772482311
-6.854765152083334,-6.85244410432465
-6.322399712916667,-6.314107853313044
-6.265502160833333,-6.275013503429114
-7.148317995208333,-7.1475499967026055
-7.075330378333334,-7.073882435889086
-10.9623053325,-10.962949654541854
-6.319170749583333,-6.320663476239552
-6.26664126125,-6.2861882250887575
-7.0336840758333325,-7.032690777567208
-7.022905210416667,-7.02289928455863
-7.08422780375,-7.08401930866092
-6.312017352708334,-6.311025573625796
-6.332704998541666,-6.33854648760904
-7.152116526458333,-7.151098391822706
-9.161317402916668,-9.165133118703233
-9.641298245749999,-9.644523815983435
-7.136041427291667,-7.135275427668824
-12.15834882325,-12.152017150540816
-6.240014454375,-6.247018493528334
-6.305394757708334,-6.30458628309022
-7.188316604375,-7.187266982015703
-6.95249484875,-6.948773500107208
-6.309936515625,-6.309231257261181
-7.041189317916667,-7.0418193210380275
-6.349562329791667,-6.353021506435938
-7.008951212083333,-7.007749652280321
-6.351928199791666,-6.345329049046626
-11.982801337249999,-11.978952126189983
-6.286706988541667,-6.289481461439167
-7.200733716041667,-7.199860222708874
-6.32487602625,-6.317145063064221
-7.0268654802083335,-7.02442965471381
-7.092309309166667,-7.090957302768321
-7.724767789,-7.728818344420688
-7.01267170625,-7.012185141587442
-7.286993710500001,-7.284608956206405
-11.214906906,-11.213031252126388
-11.32821384075,-11.324414730880488
-12.814257962413794,-12.813006886468909
-7.121017889166667,-7.120340196084829
-6.304208269791666,-6.303652973053919
-8.73545173725,-8.728327942334332
-7.0542168289583325,-7.05294276594885
-7.1639109945833335,-7.1632730328094825
-7.167291409791667,-7.165751438576212
-7.169624789166666,-7.168598153262507
-7.165546091875,-7.165506225328415
-6.242159875833334,-6.239474601996022
-6.897282216458334,-6.897992720961185
-6.328237551041667,-6.335280182290444
-7.198128662708334,-7.197305165501404
-7.081698901875,-7.081152225737767
-6.984607154583333,-6.9849648013986885
-6.997218112291667,-7.000146939863015
-7.154109712916667,-7.153376824416232
-6.357283888541667,-6.359925466540843
-7.174199045000001,-7.172796100468601
-7.04886558,-7.047244621303963
-8.710311575999999,-8.704153436132774
-6.882699499166667,-6.880986363544544
-7.004226794166667,-7.000839017771985
-6.283802756875001,-6.285673646996078
-8.55791400875,-8.553154157508244
-8.491936492,-8.483874881320565
-7.1116549679166665,-7.110216362887196
-6.3653186787500005,-6.367428243192414
-6.895442915,-6.891013222320129
-7.004274395833334,-7.002350457205264
