temperature_K,FeB2_meV_atom,FeB4_meV_atom,FeB2_eV_fu,FeB4_eV_fu
1230,56.51611748982077,-3.367771359878091,0.16954835246946232,-0.016838856799390456
1240,56.660953062499075,-3.4870857131235056,0.16998285918749723,-0.017435428565617528
1250,56.80569760234455,-3.606566620183216,0.17041709280703365,-0.01803283310091608
1260,56.95035286552219,-3.726210401740815,0.17085105859656657,-0.018631052008704074
1270,57.09492063699173,-3.846013637584633,0.1712847619109752,-0.019230068187923166
1280,57.23940261533933,-3.965972803868567,0.171718207846018,-0.019829864019342835
1290,57.3838006431,-4.086084687664027,0.1721514019293,-0.020430423438320133
1300,57.5281160158152,-4.206346076047751,0.1725843480474456,-0.021031730380238756
1310,57.67235069117227,-4.326753756100032,0.1730170520735168,-0.021633768780500162
1320,57.816506108656185,-4.447304722180689,0.17344951832596855,-0.022236523610903447
1330,57.96058350622246,-4.567996227757831,0.1738817505186674,-0.022839981138789156
1340,58.10458458245549,-4.688825111728079,0.17431375374736646,-0.023444125558640394
1350,58.24851083442084,-4.809788627561318,0.17474553250326252,-0.02404894313780659
1360,58.39236341370402,-4.930884287832171,0.17517709024111205,-0.024654421439160856
1370,58.53614393252471,-5.052109086904011,0.17560843179757413,-0.025260545434520054
1380,58.679853398516,-5.17346079645975,0.176039560195548,-0.02586730398229875
1390,58.82349342390292,-5.294936618140511,0.17647048027170875,-0.026474683090702555
1400,58.967065102688565,-5.4165343754561945,0.1769011953080657,-0.027082671877280973
1410,59.11056952887783,-5.538251529157989,0.1773317085866335,-0.027691257645789946
1420,59.25400794043156,-5.660085799105374,0.1777620238212947,-0.028300428995526872
1430,59.397381776824076,-5.782034956984816,0.17819214533047223,-0.02891017478492408
1440,59.54069190174849,-5.904096774472123,0.17862207570524546,-0.029520483872360614
1450,59.683939265264385,-6.026269334183709,0.17905181779579316,-0.030131346670918546
1460,59.82712530684786,-6.148550148690646,0.17948137592054358,-0.03074275074345323
1470,59.970250918983226,-6.270937456068992,0.17991075275694968,-0.03135468728034496
1480,60.11331693656885,-6.3934292871064,0.18033995080970655,-0.031967146435532
1490,60.256324626346114,-6.516023672588744,0.18076897387903834,-0.03258011836294372
1500,60.399274938378156,-6.638718539669242,0.18119782481513447,-0.03319359269834621
1510,60.54216856360917,-6.761512437345019,0.1816265056908275,-0.03380756218672509
1520,60.6850067112088,-6.884403240944081,0.1820550201336264,-0.03442201620472041
1530,60.827790216077204,-7.007389395822017,0.1824833706482316,-0.035036946979110084
1540,60.97051997069158,-7.130469088233227,0.18291155991207475,-0.03565234544116613
1550,61.113196550843796,-7.253640711716969,0.1833395896525314,-0.036268203558584844
1560,61.25582130964702,-7.376902659812501,0.18376746392894105,-0.036884513299062505
1570,61.398394477420126,-7.50025348151695,0.18419518343226038,-0.03750126740758475
1580,61.54091749364454,-7.623691207625072,0.18462275248093363,-0.03811845603812536
1590,61.68339058863559,-7.74721485352714,0.18505017176590677,-0.0387360742676357
1600,61.82581500035056,-7.8708225536558984,0.18547744500105168,-0.03935411276827949
1610,61.96819101668183,-7.994513167945527,0.18590457305004549,-0.039972565839727636
1620,62.11051981800786,-8.118284934461428,0.18633155945402358,-0.04059142467230714
1630,62.25280183617343,-8.242136816784651,0.1867584055085203,-0.041210684083923255
1640,62.39503770454746,-8.366067363915874,0.1871851131136424,-0.04183033681957937
1650,62.537228344401896,-8.4900752803172,0.1876116850332057,-0.042450376401586
1660,62.67937436031623,-8.614159166814517,0.1880381230809487,-0.043070795834072584
1670,62.82147644324354,-8.738317883342006,0.18846442932973062,-0.04369158941671003
1680,62.963534996237414,-8.86255018618165,0.18889060498871224,-0.04431275093090825
1690,63.105550969359214,-8.986854883445972,0.18931665290807764,-0.04493427441722986
1700,63.24752470807837,-9.111230783242164,0.18974257412423512,-0.04555615391621082
1710,63.38945707609156,-9.23567684914417,0.19016837122827468,-0.04617838424572085
1720,63.53134853402764,-9.360191681976104,0.19059404560208293,-0.04680095840988052
1730,63.673199484943765,-9.484774608059965,0.1910195984548313,-0.047423873040299824
1740,63.81501070615947,-9.609424228214536,0.1914450321184784,-0.04804712114107268
1750,63.95678283104722,-9.734139557844301,0.19187034849314166,-0.048670697789221506
1760,64.09851608992234,-9.85891976779918,0.19229554826976702,-0.049294598838995896
1770,64.24021128889557,-9.98376361437181,0.1927206338666867,-0.04991881807185905
1780,64.38186894618525,-10.108670061130809,0.19314560683855575,-0.050543350305654045
1790,64.52348929209961,-10.233638538045042,0.19357046787629884,-0.05116819269022521
1800,64.66507316154413,-10.358667749580164,0.1939952194846324,-0.05179333874790082
1810,64.80662095757239,-10.483756814771539,0.19441986287271718,-0.052418784073857694
1820,64.94813293929091,-10.608905008119507,0.19484439881787274,-0.053044525040597534
1830,65.08960979765277,-10.734111293201565,0.1952688293929583,-0.053670556466007824
1840,65.23105190692036,-10.859374789053078,0.19569315572076107,-0.05429687394526539
1850,65.37245984288553,-10.984694821994267,0.1961173795286566,-0.05492347410997134
1860,65.51383389344956,-11.110070355599078,0.19654150168034867,-0.05555035177799539
1870,65.65517443287483,-11.235500768011164,0.1969655232986245,-0.05617750384005582
1880,65.79648215211265,-11.360985230089327,0.19738944645633794,-0.05680492615044663
1890,65.93775733905893,-11.48652270540751,0.1978132720171768,-0.057432613527037546
1900,66.07900031040082,-11.612112779394224,0.19823700093120245,-0.05806056389697112
1910,66.22021152677249,-11.737754467445072,0.19866063458031746,-0.05868877233722536
1920,66.36139142001696,-11.863447147701933,0.19908417426005087,-0.059317235738509666
1930,66.50254039319137,-11.989190094665148,0.1995076211795741,-0.05994595047332574
1940,66.64365861903221,-12.114982634660265,0.19993097585709663,-0.060574913173301326
1950,66.7847468172802,-12.24082393854431,0.20035424045184058,-0.06120411969272155
1960,66.92580510309476,-12.366713436279042,0.20077741530928428,-0.06183356718139521
1970,67.06683382195067,-12.492650402371908,0.201200501465852,-0.06246325201185954
1980,67.20783346327153,-12.618634370427984,0.20162350038981458,-0.06309317185213992
1990,67.34880440132507,-12.744664304017661,0.2020464132039752,-0.0637233215200883
2000,67.48974692400544,-12.870739944037979,0.20246924077201633,-0.0643536997201899
