P_GPa,T_K,x_B,G_second_eV_per_atom,sigma_second_eV_per_atom,lower_1sigma,upper_1sigma
0,1500,0.39,5.9571283060155675,0.8282190311530445,5.128909274862523,6.785347337168612
0,1500,0.391,5.953748609748753,0.8259142157557344,5.127834393993019,6.779662825504487
0,1500,0.392,5.950095590944221,0.8235397808769491,5.126555810067272,6.77363537182117
0,1500,0.393,5.94617024206482,0.8210965415409921,5.125073700523828,6.7672667836058125
0,1500,0.394,5.941973555573399,0.8185853257622114,5.123388229811187,6.76055888133561
0,1500,0.395,5.937506523932806,0.8160069745408982,5.121499549391908,6.753513498473705
0,1500,0.396,5.932770139605892,0.8133623418748543,5.1194077977310375,6.746132481480746
0,1500,0.397,5.927765395055502,0.8106522947865192,5.117113100268983,6.738417689842021
0,1500,0.398,5.922493282744488,0.8078777133655624,5.114615569378925,6.73037099611005
0,1500,0.399,5.916954795135696,0.8050394908268864,5.11191530430881,6.721994285962583
0,1500,0.4,5.911150924691976,0.802138533583995,5.1090123911079806,6.713289458275971
0,1500,0.401,5.905082663876176,0.7991757613377098,5.105906902538466,6.704258425213887
0,1500,0.402,5.898751005151145,0.7961521071802371,5.102598897970908,6.6949031123313825
0,1500,0.403,5.892156940979732,0.7930685177146115,5.099088423265121,6.685225458694344
0,1500,0.404,5.885301463824785,0.7899259531895536,5.095375510635232,6.675227417014338
0,1500,0.405,5.878185566149154,0.7867253876498059,5.091460178499348,6.664910953798961
