route,species_a,species_b,type_a,type_b,x_A,x_B_pair,rho_A,rho_B_pair,rho_tot,k,S_cc,S_AA,S_AB,S_BB_pair,S_cc0,n_frames,frac_tag,dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,9.20000000e-01,8.29277233e-02,9.94046325e-03,-1.21427661e-02,2.04075139e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,9.30000000e-01,8.61083624e-02,1.02025774e-02,-1.28401025e-02,2.12436973e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,9.40000000e-01,9.37598102e-02,1.11985451e-02,-1.38684620e-02,2.26019699e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,9.50000000e-01,7.57410833e-02,9.05042552e-03,-1.10846249e-02,1.91429345e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,9.60000000e-01,8.34683978e-02,9.92458454e-03,-1.23091539e-02,2.11338361e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,9.70000000e-01,8.54438215e-02,9.94933365e-03,-1.29405156e-02,2.22757827e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,9.80000000e-01,8.01135528e-02,9.66819177e-03,-1.16098853e-02,1.96405221e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,9.90000000e-01,8.15558726e-02,9.68813497e-03,-1.20234531e-02,2.08236010e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.00000000e+00,8.33309619e-02,9.83252617e-03,-1.23766932e-02,2.16080517e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.01000000e+00,8.43812809e-02,9.95641930e-03,-1.25400830e-02,2.18218764e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.03000000e+00,8.31821370e-02,9.92535280e-03,-1.21970285e-02,2.10637533e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.04000000e+00,8.04485001e-02,9.57970923e-03,-1.17804444e-02,2.08089528e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.05000000e+00,7.03259801e-02,8.39822992e-03,-1.01936970e-02,1.86439567e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.06000000e+00,8.19163824e-02,9.79952270e-03,-1.19057283e-02,2.11856390e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.08000000e+00,8.11701884e-02,9.70399613e-03,-1.18154372e-02,2.09475383e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.09000000e+00,9.61148051e-02,1.16092516e-02,-1.39130979e-02,2.35284266e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.10000000e+00,7.92110265e-02,9.46255418e-03,-1.14802990e-02,2.09571289e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.11000000e+00,8.64358743e-02,1.02733867e-02,-1.26569703e-02,2.26681890e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.12000000e+00,8.01645166e-02,9.61706235e-03,-1.15776881e-02,2.08861552e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.13000000e+00,8.76730400e-02,1.03948032e-02,-1.28909982e-02,2.29797427e-02,,335,last0.5,SUPERCELL.dump
