r_A g_B_B g_B_Fe g_Fe_Fe
3.570000000000000284e+00 1.000585710223502733e+00 1.257988696469440448e+00 7.533306307431600901e-01
3.589999999999999858e+00 9.869705954899705702e-01 1.243339532381001922e+00 7.760871451240874963e-01
3.610000000000000320e+00 9.711818411340387147e-01 1.240314032379865816e+00 8.242385706879985507e-01
3.629999999999999893e+00 9.639994360487906810e-01 1.238509189369713548e+00 8.807539941520233784e-01
3.650000000000000355e+00 9.469392489969999938e-01 1.221958170085940987e+00 9.057720813635672386e-01
3.669999999999999929e+00 9.391575906222796588e-01 1.210884377198865991e+00 9.393584620845171207e-01
3.690000000000000391e+00 9.318262711534439635e-01 1.199668498322878696e+00 9.817235234053989235e-01
3.709999999999999964e+00 9.248890117055634796e-01 1.173400596796495998e+00 1.025949764457380287e+00
3.730000000000000426e+00 9.283993071674643272e-01 1.158489871146460182e+00 1.064448239901558013e+00
3.750000000000000000e+00 9.240502362252884794e-01 1.132828393199812655e+00 1.065718416481579611e+00
3.770000000000000462e+00 9.173509026596233795e-01 1.116624397956116121e+00 1.144686886348324162e+00
3.790000000000000036e+00 9.230199856872965958e-01 1.094672046077936445e+00 1.184758049791544865e+00
3.810000000000000497e+00 9.208964909374178776e-01 1.075243266232944750e+00 1.197122930650612593e+00
3.830000000000000071e+00 9.244096451404747450e-01 1.052724760580236341e+00 1.232672070917809615e+00
3.849999999999999645e+00 9.293714888455917311e-01 1.028743119261907424e+00 1.262260364820755543e+00
3.870000000000000107e+00 9.253270350226822094e-01 1.013143256780870471e+00 1.297891544985100509e+00
3.889999999999999680e+00 9.304233105455858022e-01 9.899909289815853608e-01 1.316854050155779499e+00
3.910000000000000142e+00 9.310590827669702474e-01 9.655884638363466665e-01 1.312456198300997690e+00
3.929999999999999716e+00 9.354851063949358725e-01 9.483845614636295940e-01 1.323107839465396340e+00
3.950000000000000178e+00 9.385665426281366575e-01 9.375815801705166264e-01 1.324103881893185397e+00
3.969999999999999751e+00 9.433832718076560209e-01 9.230889016050313201e-01 1.331056811809413931e+00
3.990000000000000213e+00 9.466774850737578184e-01 9.057020036922572848e-01 1.314796679904987498e+00
4.009999999999999787e+00 9.481710371049647534e-01 8.893881713126937649e-01 1.341180347606362622e+00
