x_B,P_GPa,k,S_cc_KBI,S_cc0_KBI
0.7,0,2.5973,2.444670e-01,1.356066e-01
0.7,0,2.6174,2.425395e-01,1.356066e-01
0.7,0,2.6376,2.405648e-01,1.356066e-01
0.7,0,2.6577,2.385474e-01,1.356066e-01
0.7,0,2.6779,2.364920e-01,1.356066e-01
0.7,0,2.6980,2.344029e-01,1.356066e-01
0.7,0,2.7181,2.322846e-01,1.356066e-01
0.7,0,2.7383,2.301413e-01,1.356066e-01
0.7,0,2.7584,2.279770e-01,1.356066e-01
0.7,0,2.7785,2.257958e-01,1.356066e-01
0.7,0,2.7987,2.236016e-01,1.356066e-01
0.7,0,2.8188,2.213980e-01,1.356066e-01
0.7,0,2.8389,2.191888e-01,1.356066e-01
0.7,0,2.8591,2.169772e-01,1.356066e-01
0.7,0,2.8792,2.147668e-01,1.356066e-01
0.7,0,2.8993,2.125607e-01,1.356066e-01
0.7,0,2.9195,2.103620e-01,1.356066e-01
0.7,0,2.9396,2.081738e-01,1.356066e-01
0.7,0,2.9597,2.059988e-01,1.356066e-01
0.7,0,2.9799,2.038399e-01,1.356066e-01
0.7,0,3.0000,2.016997e-01,1.356066e-01
0.8,0,0.0000,2.032595e-01,2.032595e-01
0.8,0,0.0201,2.032139e-01,2.032595e-01
0.8,0,0.0403,2.030773e-01,2.032595e-01
0.8,0,0.0604,2.028502e-01,2.032595e-01
0.8,0,0.0805,2.025333e-01,2.032595e-01
0.8,0,0.1007,2.021277e-01,2.032595e-01
0.8,0,0.1208,2.016347e-01,2.032595e-01
0.8,0,0.1409,2.010561e-01,2.032595e-01
0.8,0,0.1611,2.003937e-01,2.032595e-01
0.8,0,0.1812,1.996499e-01,2.032595e-01
0.8,0,0.2013,1.988270e-01,2.032595e-01
0.8,0,0.2215,1.979278e-01,2.032595e-01
0.8,0,0.2416,1.969554e-01,2.032595e-01
0.8,0,0.2617,1.959130e-01,2.032595e-01
0.8,0,0.2819,1.948040e-01,2.032595e-01
0.8,0,0.3020,1.936321e-01,2.032595e-01
0.8,0,0.3221,1.924012e-01,2.032595e-01
0.8,0,0.3423,1.911153e-01,2.032595e-01
0.8,0,0.3624,1.897786e-01,2.032595e-01
0.8,0,0.3826,1.883955e-01,2.032595e-01
0.8,0,0.4027,1.869705e-01,2.032595e-01
0.8,0,0.4228,1.855082e-01,2.032595e-01
0.8,0,0.4430,1.840133e-01,2.032595e-01
0.8,0,0.4631,1.824904e-01,2.032595e-01
0.8,0,0.4832,1.809446e-01,2.032595e-01
0.8,0,0.5034,1.793806e-01,2.032595e-01
0.8,0,0.5235,1.778033e-01,2.032595e-01
0.8,0,0.5436,1.762177e-01,2.032595e-01
0.8,0,0.5638,1.746286e-01,2.032595e-01
0.8,0,0.5839,1.730409e-01,2.032595e-01
0.8,0,0.6040,1.714593e-01,2.032595e-01
0.8,0,0.6242,1.698887e-01,2.032595e-01
0.8,0,0.6443,1.683336e-01,2.032595e-01
0.8,0,0.6644,1.667987e-01,2.032595e-01
0.8,0,0.6846,1.652883e-01,2.032595e-01
0.8,0,0.7047,1.638068e-01,2.032595e-01
0.8,0,0.7248,1.623583e-01,2.032595e-01
0.8,0,0.7450,1.609468e-01,2.032595e-01
0.8,0,0.7651,1.595762e-01,2.032595e-01
0.8,0,0.7852,1.582501e-01,2.032595e-01
0.8,0,0.8054,1.569719e-01,2.032595e-01
0.8,0,0.8255,1.557450e-01,2.032595e-01
0.8,0,0.8456,1.545722e-01,2.032595e-01
0.8,0,0.8658,1.534565e-01,2.032595e-01
0.8,0,0.8859,1.524005e-01,2.032595e-01
0.8,0,0.9060,1.514064e-01,2.032595e-01
0.8,0,0.9262,1.504764e-01,2.032595e-01
0.8,0,0.9463,1.496123e-01,2.032595e-01
0.8,0,0.9664,1.488157e-01,2.032595e-01
0.8,0,0.9866,1.480881e-01,2.032595e-01
0.8,0,1.0067,1.474304e-01,2.032595e-01
0.8,0,1.0268,1.468436e-01,2.032595e-01
0.8,0,1.0470,1.463283e-01,2.032595e-01
0.8,0,1.0671,1.458849e-01,2.032595e-01
0.8,0,1.0872,1.455133e-01,2.032595e-01
0.8,0,1.1074,1.452136e-01,2.032595e-01
0.8,0,1.1275,1.449854e-01,2.032595e-01
0.8,0,1.1477,1.448280e-01,2.032595e-01
0.8,0,1.1678,1.447407e-01,2.032595e-01
0.8,0,1.1879,1.447224e-01,2.032595e-01
0.8,0,1.2081,1.447718e-01,2.032595e-01
0.8,0,1.2282,1.448877e-01,2.032595e-01
0.8,0,1.2483,1.450682e-01,2.032595e-01
0.8,0,1.2685,1.453116e-01,2.032595e-01
0.8,0,1.2886,1.456159e-01,2.032595e-01
0.8,0,1.3087,1.459789e-01,2.032595e-01
0.8,0,1.3289,1.463984e-01,2.032595e-01
0.8,0,1.3490,1.468720e-01,2.032595e-01
0.8,0,1.3691,1.473970e-01,2.032595e-01
0.8,0,1.3893,1.479708e-01,2.032595e-01
0.8,0,1.4094,1.485907e-01,2.032595e-01
0.8,0,1.4295,1.492537e-01,2.032595e-01
0.8,0,1.4497,1.499569e-01,2.032595e-01
0.8,0,1.4698,1.506973e-01,2.032595e-01
0.8,0,1.4899,1.514718e-01,2.032595e-01
0.8,0,1.5101,1.522774e-01,2.032595e-01
0.8,0,1.5302,1.531108e-01,2.032595e-01
0.8,0,1.5503,1.539689e-01,2.032595e-01
0.8,0,1.5705,1.548486e-01,2.032595e-01
0.8,0,1.5906,1.557467e-01,2.032595e-01
0.8,0,1.6107,1.566600e-01,2.032595e-01
0.8,0,1.6309,1.575854e-01,2.032595e-01
0.8,0,1.6510,1.585198e-01,2.032595e-01
0.8,0,1.6711,1.594601e-01,2.032595e-01
0.8,0,1.6913,1.604033e-01,2.032595e-01
0.8,0,1.7114,1.613464e-01,2.032595e-01
0.8,0,1.7315,1.622866e-01,2.032595e-01
0.8,0,1.7517,1.632210e-01,2.032595e-01
0.8,0,1.7718,1.641469e-01,2.032595e-01
0.8,0,1.7919,1.650617e-01,2.032595e-01
0.8,0,1.8121,1.659627e-01,2.032595e-01
0.8,0,1.8322,1.668474e-01,2.032595e-01
0.8,0,1.8523,1.677135e-01,2.032595e-01
0.8,0,1.8725,1.685588e-01,2.032595e-01
0.8,0,1.8926,1.693809e-01,2.032595e-01
0.8,0,1.9128,1.701779e-01,2.032595e-01
0.8,0,1.9329,1.709478e-01,2.032595e-01
0.8,0,1.9530,1.716886e-01,2.032595e-01
0.8,0,1.9732,1.723988e-01,2.032595e-01
0.8,0,1.9933,1.730766e-01,2.032595e-01
0.8,0,2.0134,1.737206e-01,2.032595e-01
0.8,0,2.0336,1.743292e-01,2.032595e-01
0.8,0,2.0537,1.749013e-01,2.032595e-01
0.8,0,2.0738,1.754356e-01,2.032595e-01
0.8,0,2.0940,1.759310e-01,2.032595e-01
0.8,0,2.1141,1.763866e-01,2.032595e-01
0.8,0,2.1342,1.768015e-01,2.032595e-01
0.8,0,2.1544,1.771749e-01,2.032595e-01
0.8,0,2.1745,1.775062e-01,2.032595e-01
0.8,0,2.1946,1.777948e-01,2.032595e-01
0.8,0,2.2148,1.780403e-01,2.032595e-01
0.8,0,2.2349,1.782421e-01,2.032595e-01
0.8,0,2.2550,1.784002e-01,2.032595e-01
0.8,0,2.2752,1.785143e-01,2.032595e-01
0.8,0,2.2953,1.785842e-01,2.032595e-01
0.8,0,2.3154,1.786100e-01,2.032595e-01
0.8,0,2.3356,1.785917e-01,2.032595e-01
0.8,0,2.3557,1.785295e-01,2.032595e-01
0.8,0,2.3758,1.784236e-01,2.032595e-01
0.8,0,2.3960,1.782742e-01,2.032595e-01
0.8,0,2.4161,1.780818e-01,2.032595e-01
0.8,0,2.4362,1.778468e-01,2.032595e-01
0.8,0,2.4564,1.775697e-01,2.032595e-01
0.8,0,2.4765,1.772511e-01,2.032595e-01
0.8,0,2.4966,1.768916e-01,2.032595e-01
0.8,0,2.5168,1.764919e-01,2.032595e-01
0.8,0,2.5369,1.760529e-01,2.032595e-01
0.8,0,2.5570,1.755753e-01,2.032595e-01
0.8,0,2.5772,1.750601e-01,2.032595e-01
0.8,0,2.5973,1.745082e-01,2.032595e-01
0.8,0,2.6174,1.739206e-01,2.032595e-01
0.8,0,2.6376,1.732985e-01,2.032595e-01
0.8,0,2.6577,1.726430e-01,2.032595e-01
0.8,0,2.6779,1.719553e-01,2.032595e-01
0.8,0,2.6980,1.712366e-01,2.032595e-01
0.8,0,2.7181,1.704884e-01,2.032595e-01
0.8,0,2.7383,1.697119e-01,2.032595e-01
0.8,0,2.7584,1.689086e-01,2.032595e-01
0.8,0,2.7785,1.680800e-01,2.032595e-01
0.8,0,2.7987,1.672278e-01,2.032595e-01
0.8,0,2.8188,1.663534e-01,2.032595e-01
0.8,0,2.8389,1.654586e-01,2.032595e-01
0.8,0,2.8591,1.645451e-01,2.032595e-01
0.8,0,2.8792,1.636147e-01,2.032595e-01
0.8,0,2.8993,1.626693e-01,2.032595e-01
0.8,0,2.9195,1.617107e-01,2.032595e-01
0.8,0,2.9396,1.607408e-01,2.032595e-01
0.8,0,2.9597,1.597617e-01,2.032595e-01
0.8,0,2.9799,1.587754e-01,2.032595e-01
0.8,0,3.0000,1.577839e-01,2.032595e-01
0.9,0,0.0000,2.110040e-01,2.110040e-01
0.9,0,0.0201,2.108815e-01,2.110040e-01
0.9,0,0.0403,2.105146e-01,2.110040e-01
0.9,0,0.0604,2.099051e-01,2.110040e-01
0.9,0,0.0805,2.090556e-01,2.110040e-01
0.9,0,0.1007,2.079701e-01,2.110040e-01
0.9,0,0.1208,2.066535e-01,2.110040e-01
0.9,0,0.1409,2.051118e-01,2.110040e-01
0.9,0,0.1611,2.033519e-01,2.110040e-01
0.9,0,0.1812,2.013818e-01,2.110040e-01
0.9,0,0.2013,1.992102e-01,2.110040e-01
0.9,0,0.2215,1.968468e-01,2.110040e-01
0.9,0,0.2416,1.943020e-01,2.110040e-01
0.9,0,0.2617,1.915869e-01,2.110040e-01
0.9,0,0.2819,1.887133e-01,2.110040e-01
0.9,0,0.3020,1.856936e-01,2.110040e-01
0.9,0,0.3221,1.825404e-01,2.110040e-01
0.9,0,0.3423,1.792672e-01,2.110040e-01
0.9,0,0.3624,1.758873e-01,2.110040e-01
0.9,0,0.3826,1.724145e-01,2.110040e-01
0.9,0,0.4027,1.688629e-01,2.110040e-01
0.9,0,0.4228,1.652465e-01,2.110040e-01
0.9,0,0.4430,1.615792e-01,2.110040e-01
0.9,0,0.4631,1.578751e-01,2.110040e-01
0.9,0,0.4832,1.541479e-01,2.110040e-01
0.9,0,0.5034,1.504111e-01,2.110040e-01
0.9,0,0.5235,1.466781e-01,2.110040e-01
0.9,0,0.5436,1.429616e-01,2.110040e-01
0.9,0,0.5638,1.392741e-01,2.110040e-01
0.9,0,0.5839,1.356276e-01,2.110040e-01
0.9,0,0.6040,1.320334e-01,2.110040e-01
0.9,0,0.6242,1.285023e-01,2.110040e-01
0.9,0,0.6443,1.250444e-01,2.110040e-01
0.9,0,0.6644,1.216692e-01,2.110040e-01
0.9,0,0.6846,1.183854e-01,2.110040e-01
0.9,0,0.7047,1.152010e-01,2.110040e-01
0.9,0,0.7248,1.121232e-01,2.110040e-01
0.9,0,0.7450,1.091584e-01,2.110040e-01
0.9,0,0.7651,1.063123e-01,2.110040e-01
0.9,0,0.7852,1.035898e-01,2.110040e-01
0.9,0,0.8054,1.009949e-01,2.110040e-01
0.9,0,0.8255,9.853084e-02,2.110040e-01
0.9,0,0.8456,9.620025e-02,2.110040e-01
0.9,0,0.8658,9.400486e-02,2.110040e-01
0.9,0,0.8859,9.194571e-02,2.110040e-01
0.9,0,0.9060,9.002313e-02,2.110040e-01
0.9,0,0.9262,8.823681e-02,2.110040e-01
0.9,0,0.9463,8.658579e-02,2.110040e-01
0.9,0,0.9664,8.506851e-02,2.110040e-01
0.9,0,0.9866,8.368285e-02,2.110040e-01
0.9,0,1.0067,8.242620e-02,2.110040e-01
0.9,0,1.0268,8.129545e-02,2.110040e-01
0.9,0,1.0470,8.028709e-02,2.110040e-01
0.9,0,1.0671,7.939721e-02,2.110040e-01
0.9,0,1.0872,7.862159e-02,2.110040e-01
0.9,0,1.1074,7.795570e-02,2.110040e-01
0.9,0,1.1275,7.739480e-02,2.110040e-01
0.9,0,1.1477,7.693395e-02,2.110040e-01
0.9,0,1.1678,7.656804e-02,2.110040e-01
0.9,0,1.1879,7.629187e-02,2.110040e-01
0.9,0,1.2081,7.610018e-02,2.110040e-01
0.9,0,1.2282,7.598769e-02,2.110040e-01
0.9,0,1.2483,7.594910e-02,2.110040e-01
